,f_stat,p_val
EXOSC5,0.1330838406402414,0.8757203965731984
ALG8,0.13300993185177626,0.8757847579984599
SNAP91,0.1329588340203817,0.8758292580156936
GTF2IRD2B,0.13295785679570576,0.875830109082901
TMEM139,0.1329263242867526,0.8758575712799554
RASA3,0.13285883713430155,0.8759163500028975
MIR21///VMP1,0.1328333901632427,0.8759385144069578
CLDN8,0.13281740928541394,0.8759524341083973
ATP5B,0.1328114581401859,0.8759576177477109
MDK,0.1328031998084576,0.8759648110738142
CLEC1B,0.1327643233485695,0.8759986748002185
SETD3,0.13273766901832026,0.8760218931079079
CCNB2,0.13256806924368006,0.8761696447237733
ACD,0.13254515462760236,0.8761896094284916
MUC7,0.13248522546383537,0.8762418258581793
CYP4F62P,0.13246260181392863,0.8762615387442277
MIR1178///CIT,0.13243246912969048,0.8762877952685868
COX7A2L,0.1323832432019845,0.8763306907149091
LEO1,0.13237609223954117,0.8763369222417531
ACAP1,0.1322947515336428,0.8764078078109957
PRH1-PRR4///PRR4///PRH1,0.13225932476457242,0.876438682865094
PER2,0.13223663713442743,0.8764584561305722
MIR3681HG,0.13213907424396296,0.8765434917722466
NMB,0.13210407233581128,0.8765740014695279
RELN,0.1319953322500412,0.8766687927104418
C17orf89,0.13197726564168588,0.8766845428249063
MTMR3,0.13190658415121412,0.8767461643954071
PCGF5,0.13184945434883844,0.8767959746267426
BZW1,0.1318029796132984,0.8768364971134099
FMO4,0.13179336454450832,0.876844880976619
ZNF814,0.13171285998763718,0.8769150802376083
LOC221272,0.13168255505457638,0.8769415073889238
KATNAL1,0.13164274589566652,0.8769762238788625
ABAT,0.131617230218894,0.8769984761634289
LKAAEAR1,0.1315243594343118,0.8770794739740182
LINC00963,0.13152065968960763,0.8770827008900378
POPDC3,0.13147703845630215,0.877120748247555
RAC2,0.1312963293609179,0.8772783848531923
LOC101928554,0.13129251854504467,0.8772817094315131
CECR7,0.13126199762704283,0.8773083365348825
KCTD6,0.13122701783829693,0.8773388546889118
LOC339803,0.1312249767045951,0.8773406355123634
VPREB1,0.1312138774139364,0.8773503193521457
HRH4,0.1312089221738974,0.8773546427050058
ZSCAN16,0.13111186965051194,0.8774393236668735
SURF1,0.1310743752863128,0.8774720407995262
LOC105373860,0.13100476299440897,0.8775327870235168
SFPQ,0.1309670712662517,0.8775656800293653
MORN4,0.13086921796120993,0.8776510811415672
ASCC1,0.13080933528512792,0.8777033478005337
LOC101926887///LIPA,0.13071038287061018,0.8777897223300272
PNPLA3,0.13064966531565395,0.8778427264368562
MTMR9,0.13064716926882955,0.8778449054618216
AMZ2P1,0.13064319365906485,0.8778483761427014
UCHL3,0.13058717523592905,0.8778972813744477
SSR4P1,0.13051395093773668,0.8779612119709689
LOC101929084,0.13050248800184924,0.8779712204588659
ZSCAN12,0.13045097687975749,0.8780161971801743
SLC25A5,0.13041785099406145,0.8780451221781146
PANX2,0.1303846066141952,0.8780741516420661
SEMA6C,0.13020955374971482,0.8782270267928395
LINC01405,0.13014670220564692,0.8782819223489845
YPEL1,0.13001949786144415,0.8783930356297116
STX7,0.12995077040027278,0.8784530753196501
LINC01069,0.12993815330534772,0.8784640979647438
GCNT3,0.12990085486944827,0.8784966837590645
NLRP6,0.12982877360766545,0.8785596611549059
BEST3,0.12974539218131573,0.8786325173756602
GPR153,0.1297150717647249,0.8786590120193096
LINC00929,0.12971472961590166,0.8786593110011931
ZNF222,0.12969082376063373,0.87868020105542
KLRC3,0.129583764790183,0.8787737605421092
OSBPL2,0.12954681206708865,0.8788060561630335
WFDC2,0.1295291706549039,0.8788214746880636
LOC105374895,0.12935446130790043,0.8789741851993357
ARSJ,0.1293214227406317,0.8790030667674779
CDK10,0.12920316900153467,0.8791064496196048
CYB561D1,0.12908798328278656,0.8792071624550195
COPG2IT1,0.12897778044903227,0.8793035297558478
LOC221814,0.1289705193296292,0.8793098796569017
CDKN2A,0.1289650461958117,0.8793146659833244
KBTBD2,0.12891084667660382,0.8793620656313107
LINC00486,0.12877815110708868,0.8794781244605738
EMP1,0.12876288405500638,0.8794914784264979
PAPSS1,0.12875400901361453,0.8794992414499715
ABL1,0.12874823942782407,0.8795042881610813
IL1RAPL2,0.12867616219743447,0.8795673373388738
CSF3,0.12865632922305906,0.8795846869554667
RP2,0.12865109442919329,0.8795892663415484
SLC22A11,0.1286407742223124,0.8795982945084854
PMM2,0.12859124366017835,0.8796416254284943
